zipcode,HUC8,HUC4,triplet1,triplet2,triplet3,triplet1last,triplet2last,triplet3last
34711,3080102,308,3080102,3080101,3080103,0102,0101,0103
34715,3080102,308,3080102,3080101,3080103,0102,0101,0103
34729,3080102,308,3080102,3080101,3080103,0102,0101,0103
34737,3080102,308,3080102,3080101,3080103,0102,0101,0103
34756,3080102,308,3080102,3080101,3080103,0102,0101,0103
34760,3080102,308,3080102,3080101,3080103,0102,0101,0103
34788,3080102,308,3080102,3080101,3080103,0102,0101,0103
34797,3080102,308,3080102,3080101,3080103,0102,0101,0103
32003,3080103,308,3080103,3080201,3080102,0103,0201,0102
32043,3080103,308,3080103,3080201,3080102,0103,0201,0102
32065,3080103,308,3080103,3080201,3080102,0103,0201,0102
32068,3080103,308,3080103,3080201,3080102,0103,0201,0102
32073,3080103,308,3080103,3080201,3080102,0103,0201,0102
32079,3080103,308,3080103,3080201,3080102,0103,0201,0102
32092,3080103,308,3080103,3080201,3080102,0103,0201,0102
32110,3080103,308,3080103,3080201,3080102,0103,0201,0102
32131,3080103,308,3080103,3080201,3080102,0103,0201,0102
32140,3080103,308,3080103,3080201,3080102,0103,0201,0102
32177,3080103,308,3080103,3080201,3080102,0103,0201,0102
32187,3080103,308,3080103,3080201,3080102,0103,0201,0102
32189,3080103,308,3080103,3080201,3080102,0103,0201,0102
32202,3080103,308,3080103,3080201,3080102,0103,0201,0102
32203,3080103,308,3080103,3080201,3080102,0103,0201,0102
32204,3080103,308,3080103,3080201,3080102,0103,0201,0102
32205,3080103,308,3080103,3080201,3080102,0103,0201,0102
32206,3080103,308,3080103,3080201,3080102,0103,0201,0102
32207,3080103,308,3080103,3080201,3080102,0103,0201,0102
32208,3080103,308,3080103,3080201,3080102,0103,0201,0102
32209,3080103,308,3080103,3080201,3080102,0103,0201,0102
32210,3080103,308,3080103,3080201,3080102,0103,0201,0102
32211,3080103,308,3080103,3080201,3080102,0103,0201,0102
32212,3080103,308,3080103,3080201,3080102,0103,0201,0102
32214,3080103,308,3080103,3080201,3080102,0103,0201,0102
32216,3080103,308,3080103,3080201,3080102,0103,0201,0102
32217,3080103,308,3080103,3080201,3080102,0103,0201,0102
32222,3080103,308,3080103,3080201,3080102,0103,0201,0102
32223,3080103,308,3080103,3080201,3080102,0103,0201,0102
32224,3080103,308,3080103,3080201,3080102,0103,0201,0102
32225,3080103,308,3080103,3080201,3080102,0103,0201,0102
32227,3080103,308,3080103,3080201,3080102,0103,0201,0102
32228,3080103,308,3080103,3080201,3080102,0103,0201,0102
32233,3080103,308,3080103,3080201,3080102,0103,0201,0102
32244,3080103,308,3080103,3080201,3080102,0103,0201,0102
32246,3080103,308,3080103,3080201,3080102,0103,0201,0102
32250,3080103,308,3080103,3080201,3080102,0103,0201,0102
32254,3080103,308,3080103,3080201,3080102,0103,0201,0102
32256,3080103,308,3080103,3080201,3080102,0103,0201,0102
32257,3080103,308,3080103,3080201,3080102,0103,0201,0102
32258,3080103,308,3080103,3080201,3080102,0103,0201,0102
32259,3080103,308,3080103,3080201,3080102,0103,0201,0102
32266,3080103,308,3080103,3080201,3080102,0103,0201,0102
32277,3080103,308,3080103,3080201,3080102,0103,0201,0102
32656,3080103,308,3080103,3080201,3080102,0103,0201,0102
32080,3080201,308,3080201,3080103,3080101,0201,0103,0101
32086,3080201,308,3080201,3080103,3080101,0201,0103,0101
32114,3080201,308,3080201,3080103,3080101,0201,0103,0101
32117,3080201,308,3080201,3080103,3080101,0201,0103,0101
32118,3080201,308,3080201,3080103,3080101,0201,0103,0101
32119,3080201,308,3080201,3080103,3080101,0201,0103,0101
32127,3080201,308,3080201,3080103,3080101,0201,0103,0101
32128,3080201,308,3080201,3080103,3080101,0201,0103,0101
32129,3080201,308,3080201,3080103,3080101,0201,0103,0101
32136,3080201,308,3080201,3080103,3080101,0201,0103,0101
32137,3080201,308,3080201,3080103,3080101,0201,0103,0101
32176,3080201,308,3080201,3080103,3080101,0201,0103,0101
32132,3080202,308,3080202,3080101,3080203,0202,0101,0203
32141,3080202,308,3080202,3080101,3080203,0202,0101,0203
32169,3080202,308,3080202,3080101,3080203,0202,0101,0203
32775,3080202,308,3080202,3080101,3080203,0202,0101,0203
32899,3080202,308,3080202,3080101,3080203,0202,0101,0203
32901,3080202,308,3080202,3080101,3080203,0202,0101,0203
32903,3080202,308,3080202,3080101,3080203,0202,0101,0203
