HUC8,HUC4,region
10180009,1018,
10180010,1018,
10180011,1018,
10180012,1018,
10180013,1018,
10180014,1018,
10190001,1019,
10190002,1019,
10190003,1019,
10190004,1019,
10190005,1019,
10190006,1019,
10190007,1019,
10190008,1019,
10190009,1019,
10190010,1019,
10190011,1019,
10190012,1019,
10190013,1019,
10190014,1019,
10190015,1019,
10190016,1019,
10190017,1019,
10190018,1019,
10200101,1020,
10200102,1020,
10200103,1020,
10200201,1020,
10200202,1020,
10200203,1020,
10210001,1021,
10210002,1021,
10210003,1021,
10210004,1021,
10210005,1021,
10210006,1021,
10210007,1021,
10210008,1021,
10210009,1021,
10210010,1021,
10220001,1022,
10220002,1022,
10220003,1022,
10220004,1022,
10230001,1023,
10230002,1023,
10230003,1023,
10230004,1023,
10230005,1023,
10230006,1023,
10230007,1023,
10240001,1024,
10240002,1024,
10240003,1024,
10240004,1024,
10240005,1024,
10240006,1024,
10240007,1024,
10240008,1024,
10240009,1024,
10240010,1024,
10240011,1024,
10240012,1024,
10240013,1024,
10250001,1025,
10250002,1025,
10250003,1025,
10250004,1025,
10250005,1025,
10250006,1025,
10250007,1025,
10250008,1025,
10250009,1025,
10250010,1025,
10250011,1025,
10250012,1025,
10250013,1025,
10250014,1025,
10250015,1025,
10250016,1025,
10250017,1025,
10260001,1026,
10260002,1026,
10260003,1026,
10260004,1026,
10260005,1026,
10260006,1026,
10260007,1026,
10260008,1026,
10260009,1026,
10260010,1026,
10260011,1026,
10260012,1026,
10260013,1026,
10260014,1026,
10260015,1026,
10270101,1027,
10270102,1027,
10270103,1027,
10270104,1027,
10270201,1027,
10270202,1027,
10270203,1027,
10270204,1027,
10270205,1027,
10270206,1027,
10270207,1027,
10280101,1028,
10280102,1028,
10280103,1028,
10280201,1028,
10280202,1028,
10280203,1028,
10290101,1029,
10290102,1029,
10290103,1029,
10290104,1029,
10290105,1029,
10290106,1029,
10290107,1029,
10290108,1029,
10290109,1029,
10290110,1029,
10290111,1029,
10290201,1029,
10290202,1029,
10290203,1029,
10300101,1030,
10300102,1030,
10300103,1030,
10300104,1030,
10300200,1030,
11010001,1101,
11010002,1101,
11010003,1101,
11010004,1101,
11010005,1101,
11010006,1101,
11010007,1101,
11010008,1101,
11010009,1101,
11010010,1101,
11010011,1101,
11010012,1101,
11010013,1101,
11010014,1101,
11020001,1102,
11020002,1102,
11020003,1102,
11020004,1102,
11020005,1102,
11020006,1102,
11020007,1102,
11020008,1102,
11020009,1102,
11020010,1102,
11020011,1102,
11020012,1102,
11020013,1102,
11030001,1103,
11030002,1103,
11030003,1103,
11030004,1103,
11030005,1103,
11030006,1103,
11030007,1103,
11030008,1103,
11030009,1103,
11030010,1103,
11030011,1103,
11030012,1103,
11030013,1103,
11030014,1103,
11030015,1103,
11030016,1103,
11030017,1103,
11030018,1103,
11040001,1104,
11040002,1104,
11040003,1104,
11040004,1104,
11040005,1104,
11040006,1104,
11040007,1104,
11040008,1104,
11050001,1105,
11050002,1105,
11050003,1105,
11060001,1106,
11060002,1106,
11060003,1106,
11060004,1106,
11060005,1106,
11060006,1106,
11070101,1107,
11070102,1107,
11070103,1107,
11070104,1107,
11070105,1107,
11070106,1107,
11070107,1107,
11070201,1107,
11070202,1107,
11070203,1107,
11070204,1107,
11070205,1107,
11070206,1107,
11070207,1107,
11070208,1107,
11070209,1107,
11080001,1108,
11080002,1108,
11080003,1108,
11080004,1108,
11080005,1108,
11080006,1108,
11080007,1108,
11080008,1108,
11090101,1109,
11090102,1109,
11090103,1109,
11090104,1109,
11090105,1109,
11090106,1109,
11090201,1109,
11090202,1109,
11090203,1109,
11090204,1109,
11100101,1110,
11100102,1110,
11100103,1110,
11100104,1110,
11100201,1110,
11100202,1110,
11100203,1110,
11100301,1110,
11100302,1110,
11100303,1110,
11110101,1111,
11110102,1111,
11110103,1111,
11110104,1111,
11110105,1111,
11110201,1111,
11110202,1111,
11110203,1111,
11110204,1111,
11110205,1111,
11110206,1111,
11110207,1111,
11120101,1112,
11120102,1112,
11120103,1112,
11120104,1112,
11120105,1112,
11120201,1112,
11120202,1112,
11120301,1112,
11120302,1112,
11120303,1112,
11120304,1112,
11130101,1113,
11130102,1113,
11130103,1113,
11130104,1113,
11130105,1113,
11130201,1113,
11130202,1113,
11130203,1113,
11130204,1113,
11130205,1113,
11130206,1113,
11130207,1113,
11130208,1113,
11130209,1113,
11130210,1113,
11130301,1113,
11130302,1113,
11130303,1113,
11130304,1113,
11140101,1114,
11140102,1114,
11140103,1114,
11140104,1114,
11140105,1114,
11140106,1114,
11140107,1114,
11140108,1114,
11140109,1114,
11140201,1114,
11140202,1114,
11140203,1114,
11140204,1114,
11140205,1114,
11140206,1114,
11140207,1114,
11140208,1114,
11140209,1114,
11140301,1114,
11140302,1114,
11140303,1114,
11140304,1114,
11140305,1114,
11140306,1114,
11140307,1114,
12010001,1201,
12010002,1201,
12010003,1201,
12010004,1201,
12010005,1201,
12020001,1202,
12020002,1202,
12020003,1202,
12020004,1202,
12020005,1202,
12020006,1202,
12020007,1202,
12030101,1203,
12030102,1203,
12030103,1203,
12030104,1203,
12030105,1203,
12030106,1203,
12030107,1203,
12030108,1203,
12030109,1203,
12030201,1203,
12030202,1203,
12030203,1203,
12040101,1204,
12040102,1204,
12040103,1204,
12040104,1204,
12040201,1204,
12040202,1204,
12040203,1204,
12040204,1204,
12040205,1204,
12050001,1205,
12050002,1205,
12050003,1205,
12050004,1205,
12050005,1205,
12050006,1205,
12050007,1205,
12060101,1206,
12060102,1206,
12060103,1206,
12060104,1206,
12060105,1206,
12060201,1206,
12060202,1206,
12060203,1206,
12060204,1206,
12070101,1207,
12070102,1207,
12070103,1207,
12070104,1207,
12070201,1207,
12070202,1207,
12070203,1207,
12070204,1207,
12070205,1207,
12080001,1208,
12080002,1208,
12080003,1208,
12080004,1208,
12080005,1208,
12080006,1208,
12080007,1208,
12080008,1208,
12090101,1209,
12090102,1209,
12090103,1209,
12090104,1209,
12090105,1209,
12090106,1209,
12090107,1209,
12090108,1209,
12090109,1209,
12090110,1209,
12090201,1209,
12090202,1209,
12090203,1209,
12090204,1209,
12090205,1209,
12090206,1209,
12090301,1209,
12090302,1209,
12090401,1209,
12090402,1209,
12100101,1210,
12100102,1210,
12100201,1210,
12100202,1210,
12100203,1210,
12100204,1210,
12100301,1210,
12100302,1210,
12100303,1210,
12100304,1210,
12100401,1210,
12100402,1210,
12100403,1210,
12100404,1210,
12100405,1210,
12100406,1210,
12100407,1210,
12110101,1211,
12110102,1211,
12110103,1211,
12110104,1211,
12110105,1211,
12110106,1211,
12110107,1211,
12110108,1211,
12110109,1211,
12110110,1211,
12110111,1211,
12110201,1211,
12110202,1211,
12110203,1211,
12110204,1211,
12110205,1211,
12110206,1211,
12110207,1211,
12110208,1211,
13010001,1301,
13010002,1301,
13010003,1301,
13010004,1301,
13010005,1301,
13020101,1302,
13020102,1302,
13020201,1302,
13020202,1302,
13020203,1302,
13020204,1302,
13020205,1302,
13020206,1302,
13020207,1302,
13020208,1302,
13020209,1302,
13020210,1302,
13020211,1302,
13030101,1303,
13030102,1303,
13030103,1303,
13030201,1303,
13030202,1303,
13040100,1304,
13040201,1304,
13040202,1304,
13040203,1304,
13040204,1304,
13040205,1304,
13040206,1304,
13040207,1304,
13040208,1304,
13040209,1304,
13040210,1304,
13040211,1304,
13040212,1304,
13040301,1304,
13040302,1304,
13040303,1304,
13050001,1305,
13050002,1305,
13050003,1305,
13050004,1305,
13060001,1306,
13060002,1306,
13060003,1306,
13060004,1306,
13060005,1306,
13060006,1306,
13060007,1306,
13060008,1306,
13060009,1306,
13060010,1306,
13060011,1306,
13070001,1307,
13070002,1307,
13070003,1307,
13070004,1307,
13070005,1307,
13070006,1307,
13070007,1307,
13070008,1307,
13070009,1307,
13070010,1307,
13070011,1307,
13070012,1307,
13080001,1308,
13080002,1308,
13080003,1308,
13090001,1309,
13090002,1309,
13100000,1310,
13110000,1311,
13120000,1312,
14010001,1401,
14010002,1401,
14010003,1401,
14010004,1401,
14010005,1401,
14020001,1402,
14020002,1402,
14020003,1402,
14020004,1402,
14020005,1402,
14020006,1402,
14030001,1403,
14030002,1403,
14030003,1403,
14030004,1403,
14030005,1403,
14040101,1404,
14040102,1404,
14040103,1404,
