HUC8,BCG
12100302,2
12100303,2
12100304,2
12100401,4
12100402,2
12100403,2
12100404,2
12100405,2
12100406,5
12100407,2
12110101,2
12110102,3
12110103,3
12110104,3
12110105,2
12110106,2
12110107,3
12110108,3
12110109,4
12110110,3
12110111,4
12110201,3
12110202,3
12110203,3
12110204,6
12110205,3
12110206,3
12110207,3
12110208,3
13010001,3
13010002,4
13010003,4
13010004,6
13010005,4
13020101,3
13020102,4
13020201,5
13020202,4
13020203,4
13020204,4
13020205,4
13020206,4
13020207,4
13020208,4
13020209,4
13020210,4
13020211,5
13030101,6
13030102,4
13030103,5
13030201,5
13030202,5
13040100,5
13040201,6
13040202,6
13040203,6
13040204,6
13040205,6
13040206,6
13040207,6
13040208,6
13040209,6
13040210,6
13040211,6
13040212,4
13040301,6
13040302,6
13040303,6
13050001,5
13050002,5
13050003,5
13050004,5
13060001,3
13060002,5
13060003,5
13060004,5
13060005,5
13060006,5
13060007,5
13060008,5
13060009,5
13060010,5
13060011,5
13070001,6
13070002,4
13070003,4
13070004,4
13070005,4
13070006,4
13070007,4
13070008,4
13070009,4
13070010,4
13070011,4
13070012,4
13080001,2
13080002,2
13080003,2
13090001,3
13090002,5
13100000,
13110000,
13120000,
14010001,4
14010002,4
14010003,4
14010004,4
14010005,4
14020001,5
14020002,5
14020003,3
14020004,4
14020005,4
14020006,4
14030001,4
14030002,3
14030003,4
14030004,2
14030005,4
14040101,4
14040102,4
14040103,4
14040104,3
14040105,5
14040106,4
14040107,4
14040108,6
14040109,4
14040200,4
14050001,4
14050002,3
14050003,4
14050004,4
14050005,4
14050006,4
14050007,4
14060003,4
14060004,4
14060005,4
14060006,4
14060007,5
14060008,4
14060009,4
14060010,4
14070001,4
14070002,5
14070003,5
14070004,5
14070005,4
14070006,5
14070007,5
14080101,4
14080102,2
14080103,4
14080104,6
14080105,5
14080106,4
14080107,4
14080201,4
14080202,4
14080203,4
14080204,5
14080205,5
15010001,6
15010002,5
15010003,5
15010004,5
15010005,5
15010006,5
15010007,5
15010008,5
15010009,5
15010010,5
15010011,5
15010012,4
15010013,5
15010014,5
15010015,5
15020001,4
15020002,4
15020003,4
15020004,4
15020005,5
15020006,4
15020007,4
15020008,5
15020009,4
15020010,4
15020011,4
15020012,4
15020013,4
15020014,4
15020015,4
15020016,4
15020017,4
15020018,4
15030101,6
15030102,4
15030103,4
15030104,5
15030105,4
15030106,4
15030107,4
15030108,4
15030201,3
15030202,4
15030203,4
15030204,4
15040001,4
15040002,4
15040003,4
15040004,4
15040005,4
15040006,4
15040007,4
15050100,3
15050201,4
15050202,4
15050203,4
15050301,4
15050302,4
15050303,6
15050304,4
15050305,4
15050306,4
15060101,4
15060102,4
15060103,4
15060104,4
15060105,4
15060106,4
15060201,4
15060202,4
15060203,4
15070101,5
15070102,4
15070103,5
15070104,5
15070201,6
15070202,5
15070203,5
15080101,5
15080102,5
15080103,5
15080200,5
15080301,5
15080302,5
15080303,5
16010101,5
16010102,4
16010201,3
16010202,4
16010203,3
16010204,4
16020101,5
16020102,6
16020201,4
16020202,4
16020203,4
16020204,4
16020301,4
16020302,4
16020303,4
16020304,3
16020305,4
16020306,3
16020307,4
16020308,4
16020309,5
16020310,4
16030001,5
16030002,6
16030003,5
16030004,3
16030005,5
16030006,4
16030007,5
16030008,5
16030009,5
16040101,5
16040102,5
16040103,4
16040104,5
16040105,4
16040106,5
16040107,4
16040108,5
16040109,4
16040201,5
16040202,3
16040203,5
16040204,5
16040205,5
16050101,4
16050102,4
16050103,4
16050104,4
16050201,4
16050202,5
16050203,4
16050301,3
16050302,2
16050303,4
16050304,4
16060001,5
16060002,5
16060003,5
16060004,5
16060005,5
16060006,5
16060007,5
16060008,4
16060009,5
16060010,5
16060011,5
16060012,6
16060013,5
16060014,5
16060015,5
17010101,3
17010102,3
17010103,2
17010104,3
17010105,2
17010106,3
17010107,3
17010108,3
17010109,3
17010110,3
17010201,3
17010202,3
17010203,4
17010204,3
17010205,3
17010206,4
17010207,4
17010208,3
17010209,3
17010210,5
17010211,5
17010212,4
17010213,3
17010214,3
17010215,2
17010216,3
17010301,3
17010302,3
17010303,3
17010304,3
17010305,3
17010306,3
17010307,3
17010308,3
17020001,2
17020002,3
17020003,2
17020004,4
17020005,6
17020006,3
17020007,2
17020008,3
17020009,2
17020010,3
17020011,4
17020012,3
17020013,3
17020014,5
17020015,3
17020016,3
17020017,3
17020018,3
17020019,3
17020020,3
17020021,3
17030001,3
17030002,2
17030003,4
17040101,3
17040102,4
17040103,4
17040104,3
17040105,3
17040201,4
17040202,3
17040203,3
17040204,3
17040205,4
17040206,5
17040207,4
17040208,3
17040209,4
17040210,3
17040211,3
17040212,3
17040213,3
17040214,3
17040215,3
17040216,3
17040217,3
17040218,3
17040219,3
17040220,2
17040221,3
17050101,4
17050102,3
17050103,4
17050104,4
17050105,4
17050106,3
17050107,2
17050108,3
17050109,3
17050110,4
17050111,2
17050112,3
17050113,2
17050114,4
17050115,5
17050116,3
17050117,4
17050118,3
17050119,3
17050120,2
17050121,2
17050122,3
17050123,3
17050124,2
17050201,2
17050202,3
17050203,3
17060101,4
17060102,3
17060103,4
17060104,4
17060105,2
17060106,2
17060107,6
17060108,4
17060109,4
17060110,6
17060201,3
17060202,3
17060203,2
17060204,3
17060205,3
17060206,2
17060207,3
17060208,2
17060209,3
17060210,2
17060301,3
17060302,3
17060303,2
17060304,2
17060305,3
17060306,3
17060307,2
17060308,3
17070101,6
17070102,4
17070103,4
17070104,6
17070105,3
17070106,3
17070201,4
17070202,3
17070203,3
17070204,4
17070301,4
17070302,5
17070303,4
17070304,4
17070305,4
17070306,3
17070307,4
17080001,3
17080002,3
17080003,4
17080004,4
17080005,5
17080006,3
17090001,3
17090002,3
17090003,4
17090004,3
17090005,3
17090006,3
17090007,5
17090008,4
17090009,5
17090010,5
17090011,4
17090012,4
17100101,4
17100102,3
17100103,3
17100104,4
17100105,5
17100106,5
17100201,3
17100202,4
17100203,3
17100204,4
17100205,3
17100206,3
17100207,3
17100301,3
17100302,3
17100303,4
17100304,3
17100305,3
17100306,3
17100307,2
17100308,5
17100309,3
17100310,6
17100311,2
17100312,4
17110001,4
17110002,4
17110003,4
17110004,4
17110005,4
17110006,4
17110007,6
17110008,4
17110009,4
17110010,5
17110011,4
17110012,4
17110013,4
17110014,3
17110015,5
17110016,4
17110017,4
17110018,2
17110019,4
17110020,2
17110021,4
17120001,4
17120002,4
17120003,4
17120004,4
17120005,4
17120006,4
17120007,4
17120008,6
17120009,3
18010101,3
18010102,4
18010103,4
18010104,4
18010105,6
18010106,4
18010107,4
18010108,4
18010109,4
18010110,4
18010201,4
18010202,6
18010203,4
18010204,6
18010205,4
18010206,3
18010207,4
18010208,4
18010209,5
18010210,3
18010211,3
18010212,3
18020001,4
18020002,6
18020003,4
18020004,5
18020005,4
18020104,6
18020111,4
18020115,2
18020116,4
18020121,4
18020122,4
18020123,4
18020125,3
18020126,4
18020128,2
18020129,4
18020151,4
18020152,4
18020153,4
18020154,5
18020155,4
18020156,3
18020157,4
18020158,3
18020159,5
18020161,4
18020162,4
18020163,6
18030001,4
18030002,3
18030003,4
18030004,3
18030005,4
18030006,4
18030007,4
18030009,4
18030010,5
18030012,4
18040001,5
18040002,6
18040003,6
18040006,6
18040007,6
18040008,4
18040009,6
